opendoar_uri,oai_url
https://v2.sherpa.ac.uk/id/repository/344,http://upetd.up.ac.za/ETD-db/NDLTD-OAI2/oai.pl
https://v2.sherpa.ac.uk/id/repository/347,http://eprints.ecs.soton.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/348,https://eprints.soton.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/349,https://dspace.stir.ac.uk/oai/request
https://v2.sherpa.ac.uk/id/repository/350,https://elib.uni-stuttgart.de/oai/request
https://v2.sherpa.ac.uk/id/repository/351,http://eprints.utas.edu.au/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/352,http://eprints.utsc.utoronto.ca/perl/oai2
https://v2.sherpa.ac.uk/id/repository/354,https://research.utwente.nl/cgi/oai2/
https://v2.sherpa.ac.uk/id/repository/355,http://vts.uni-ulm.de/oai/oai.asp
https://v2.sherpa.ac.uk/id/repository/358,http://eprints.csc.warwick.ac.uk/perl/oai2
https://v2.sherpa.ac.uk/id/repository/359,http://digital.lib.washington.edu/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/361,http://uu.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/362,http://eprints.usq.edu.au/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/363,https://opus.lib.uts.edu.au/oai/request
https://v2.sherpa.ac.uk/id/repository/364,http://discoverarchive.vanderbilt.edu/oai/request
https://v2.sherpa.ac.uk/id/repository/365,http://vuir.vu.edu.au/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/370,http://library.wur.nl/oai
https://v2.sherpa.ac.uk/id/repository/373,http://eprints.whiterose.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/375,http://darchive.mblwhoilibrary.org/oai/request
https://v2.sherpa.ac.uk/id/repository/378,http://ursi.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/380,http://eprints.fcla.edu/perl/oai2
https://v2.sherpa.ac.uk/id/repository/382,http://jsnc.library.caltech.edu/perl/oai2
https://v2.sherpa.ac.uk/id/repository/383,http://kau.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/384,http://oru.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/386,http://epub.oeaw.ac.at/oai
https://v2.sherpa.ac.uk/id/repository/388,http://campus.unibo.it/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/390,http://islandora.wrlc.org/oai2
https://v2.sherpa.ac.uk/id/repository/393,http://memory.loc.gov/cgi-bin/oai2_0
https://v2.sherpa.ac.uk/id/repository/395,http://digitallibrary.amnh.org/oai/request
https://v2.sherpa.ac.uk/id/repository/397,http://aphasiology.pitt.edu/perl/oai2
https://v2.sherpa.ac.uk/id/repository/399,http://search.ugent.be/cgi-bin/gateway/gateway.cgi/oai.ask23.de/static/ask23-oai.xml
https://v2.sherpa.ac.uk/id/repository/400,http://ebooks.adelaide.edu.au/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/402,http://arts.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/406,http://ds.ub.uni-bielefeld.de/viewer/oai
https://v2.sherpa.ac.uk/id/repository/407,http://findingaids.library.caltech.edu/perl/oai2
https://v2.sherpa.ac.uk/id/repository/409,http://epubs.scu.edu.au/do/oai/
https://v2.sherpa.ac.uk/id/repository/410,http://cybertesis.unmsm.edu.pe/oai/request
https://v2.sherpa.ac.uk/id/repository/411,http://oralhistories.library.caltech.edu/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/412,http://cds.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/413,http://ccso.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/414,http://coelo.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/415,http://doks.xios.be/doks/oai
https://v2.sherpa.ac.uk/id/repository/417,http://eprints.cs.vt.edu/perl/oai2
https://v2.sherpa.ac.uk/id/repository/419,http://deepblue.lib.umich.edu/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/421,http://wewi.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/422,http://ebr.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/423,http://dnpp.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/425,http://www.dlese.org/oai/provider
https://v2.sherpa.ac.uk/id/repository/426,http://www.dlnet.vt.edu/oai2/OAIProvider
https://v2.sherpa.ac.uk/id/repository/427,http://drum.lib.umd.edu/oai/request
https://v2.sherpa.ac.uk/id/repository/429,https://academiccommons.columbia.edu/oai
https://v2.sherpa.ac.uk/id/repository/430,http://digitalcase.case.edu:9000/fedora/oai
https://v2.sherpa.ac.uk/id/repository/431,http://digitalcommons.uncfsu.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/432,https://mro.massey.ac.nz/oai/request?
https://v2.sherpa.ac.uk/id/repository/433,http://digitalcommons.providence.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/434,https://radar.auctr.edu/oai2
https://v2.sherpa.ac.uk/id/repository/435,http://digitalcommons.simmons.edu/cgi/oai2.cgi
https://v2.sherpa.ac.uk/id/repository/436,http://digitalcommons.lib.ttu.edu/cgi/oai2.cgi
https://v2.sherpa.ac.uk/id/repository/437,http://oai.bibliothek.uni-kassel.de/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/438,http://digitalcommons.law.uga.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/439,http://digitalcommons.law.umaryland.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/440,http://dissertations.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/441,http://www.lib.unc.edu/cgi-bin/oai/das/das/das/oai.pl
https://v2.sherpa.ac.uk/id/repository/442,http://redes.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/443,http://ivem.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/444,http://ics.uda.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/445,http://keur.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/446,http://www.hb.fh-muenster.de/opus/fhms/phpoai/oai2.php
https://v2.sherpa.ac.uk/id/repository/447,http://vle.bromley.ac.uk/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/450,http://scholarship.rice.edu/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/452,https://dspace.sunyconnect.suny.edu/oai/request
https://v2.sherpa.ac.uk/id/repository/453,http://atrium.lib.uoguelph.ca/oai/request
https://v2.sherpa.ac.uk/id/repository/454,http://digitalcommons.owu.edu/do/oai
https://v2.sherpa.ac.uk/id/repository/456,http://eprints.upc.es:8080/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/463,https://era.ed.ac.uk/oai/request
https://v2.sherpa.ac.uk/id/repository/465,http://etd.adm.unipi.it/ETD-db/NDLTD-OAI/oai.pl
https://v2.sherpa.ac.uk/id/repository/466,http://rechten.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/468,http://epublish.utdallas.edu/cgi/oai2.cgi
https://v2.sherpa.ac.uk/id/repository/473,http://eprints.bibl.hkr.se/perl/oai2
https://v2.sherpa.ac.uk/id/repository/475,http://gbb.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/478,http://geb.uni-giessen.de/geb/oai/oai2.php
https://v2.sherpa.ac.uk/id/repository/479,http://vitrina.bibliotecachiapas.gob.mx/cgi/oai2.cgi
https://v2.sherpa.ac.uk/id/repository/480,http://ggdc.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/481,http://gdea.informatik.uni-koeln.de/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/482,http://archiv.ub.uni-heidelberg.de/volltextserver/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/483,http://helindigitalcommons.org/do/oai/
https://v2.sherpa.ac.uk/id/repository/484,http://ir.lib.hiroshima-u.ac.jp/api/oai/request
https://v2.sherpa.ac.uk/id/repository/485,http://www.hti.umich.edu/cgi/b/broker20/broker20
https://v2.sherpa.ac.uk/id/repository/487,http://www.ideals.illinois.edu/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/494,http://open.ekduniya.net/perl/oai2
https://v2.sherpa.ac.uk/id/repository/497,http://summit.sfu.ca/oai2
https://v2.sherpa.ac.uk/id/repository/498,http://prints.iiap.res.in/oai/request
https://v2.sherpa.ac.uk/id/repository/499,http://eprints.iimk.ac.in/perl/oai2
https://v2.sherpa.ac.uk/id/repository/500,http://reposcom.portcom.intercom.org.br:8081/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/502,http://sysdoc.com.dtu.dk/oai2d.py/
https://v2.sherpa.ac.uk/id/repository/504,http://publications.iowa.gov/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/505,http://archives.ece.iastate.edu/perl/oai2
https://v2.sherpa.ac.uk/id/repository/508,http://eprints.jiia.it:8080/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/509,http://www.kspace.org/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/510,http://catalog.lib.kyushu-u.ac.jp/mmd/mmd_api/oai-pmh/
https://v2.sherpa.ac.uk/id/repository/513,https://api.figshare.com/v2/oai?verb=ListIdentifiers&metadataPrefix=oai_dc&set=portal_2
https://v2.sherpa.ac.uk/id/repository/515,http://msc.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/516,http://bibliotheek.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/517,http://repositorium.uni-muenster.de/oai/miami
https://v2.sherpa.ac.uk/id/repository/519,http://eprints.ma.man.ac.uk/perl/oai2
https://v2.sherpa.ac.uk/id/repository/520,http://minority-health.pitt.edu/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/521,http://cris.vtt.fi/ws/oai
https://v2.sherpa.ac.uk/id/repository/523,http://nagoya.repo.nii.ac.jp/oai
https://v2.sherpa.ac.uk/id/repository/525,http://nal-ir.nal.res.in/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/526,https://hanze.dare.ub.rug.nl/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/531,http://pdc.ceu.hu/perl/oai2
https://v2.sherpa.ac.uk/id/repository/533,http://proceedings.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/534,http://www.maxwell.vrac.puc-rio.br/DC_Todos.php
https://v2.sherpa.ac.uk/id/repository/535,http://prc.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/536,http://theol.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/537,https://ntnuopen.ntnu.no/ntnu-oai/request
https://v2.sherpa.ac.uk/id/repository/538,http://hig.diva-portal.org/dice/oai
https://v2.sherpa.ac.uk/id/repository/540,http://docs.lib.purdue.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/541,http://repository.wrclib.noaa.gov/cgi/oai2.cgi
https://v2.sherpa.ac.uk/id/repository/542,http://www.refer.nhs.uk/oai-pmh/oai-pmh.asp
https://v2.sherpa.ac.uk/id/repository/544,http://escholarship.umassmed.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/546,https://e-docs.geo-leo.de/oai/request?verb=Identify
https://v2.sherpa.ac.uk/id/repository/547,https://researchspace.auckland.ac.nz/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/548,https://smartech.gatech.edu/oai/request
https://v2.sherpa.ac.uk/id/repository/550,https://pure.uvt.nl/ws/oai
https://v2.sherpa.ac.uk/id/repository/551,http://som.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/552,http://stratingh.eldoc.ub.rug.nl/oai/
https://v2.sherpa.ac.uk/id/repository/555,http://drs.nio.org/oai/request
https://v2.sherpa.ac.uk/id/repository/556,http://naca.central.cranfield.ac.uk/cgi-bin/nph-oai.cgi
https://v2.sherpa.ac.uk/id/repository/559,http://www.maths-in-industry.org/miis/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/561,http://pubs.dlib.vt.edu:9090/perl/oai2
