Repository name,Organisation name,URL,content_type,Short name,Coverage,ERC panels,Content type,Access to repository,Access to data upload,Certification,Date of last certification,Source (URL),Community Endorsement,Source of Community Endorsement,Community URL,Policy,Policy URL,"Metadata contains ""access rights""","Metadata contains ""License""",PID Assignment,Machine-actionable,Standardized,Linked resources,CC0 or PD or equivalent Metadata,Author(s),Description,Title,Date of publication,Venue of publication/deposit,Embargo,Funder and Funding Stream,Grant information,Record PID,Author(s) PID,Organisation PID,Grant PID,Curator,Reason for inclusion,comments
DigitalCommons@Pace,Pace University,http://digitalcommons.pace.edu/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/91,NA
DigitalCommons@The Texas Medical Center,Texas Medical Center,http://digitalcommons.library.tmc.edu/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/93,NA
Digital Collections @ FAU Libraries,Florida Atlantic University,http://digitool.fcla.edu/R/,,NA,Institutional,NA,All,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/94,NA
DigitalCommons@Macalester College,Macalester College,http://digitalcommons.macalester.edu/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/96,NA
DigitalCommons@UConn,University of Connecticut,http://digitalcommons.uconn.edu/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,http://digitalcommons.uconn.edu/copycite.html|http://digitalcommons.uconn.edu/forauthors.html,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/98,NA
DigitalCommons@University of Nebraska,University of Nebraska - Lincoln,http://digitalcommons.unl.edu/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/99,NA
DigitalCommons@UTEP,University of Texas at El Paso,http://digitalcommons.utep.edu/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/100,NA
Utrecht University Repository,University of Utrecht,http://dspace.library.uu.nl,,NA,Institutional,LS01|LS02|LS03|LS04|LS05|LS06|LS07|LS08|LS09|PE01|PE02|PE03|PE04|PE05|PE06|PE07|PE08|PE09|PE10|SH01|SH02|SH03|SH04|SH05|SH06,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/101,NA
Qucosa,Saxon State Library,http://www.qucosa.de/,,NA,Institutional,NA,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/104,NA
Document Server@UHasselt,Hasselt University,https://documentserver.uhasselt.be/,,NA,Institutional,LS01|LS04|LS05|LS06|LS07|LS09|PE01|PE04|PE05|PE06|PE08|PE09|SH05,Literature,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/105,NA
ScholarsArchive@OSU,Oregon State University,http://ir.library.oregonstate.edu,,NA,Institutional,NA,All,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,https://osulibrary.oregonstate.edu/sa-termsofuse|https://ir.library.oregonstate.edu/about#types,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,robot,Repo is listed in OpenDOAR: https://v2.sherpa.ac.uk/id/repository/108,NA
